Категория,Название,Полное название,Ссылка
Антисептики и дезинфекторы,Перекись водорода,Перекись водорода раствор 3% 100мл флакон п/э дез.средство (кожный антисептик) (отпуск 50шт),https://аптека-омск.рф/lek/perekis-vodoroda-r-r-3-100ml-fl-pe-dezsr-vokozhnyy-antiseptikotpusk-50sht
Антисептики и дезинфекторы,Аммиак,Аммиак раствор для наружного применения и ингаляций 10% 40мл,https://аптека-омск.рф/lek/ammiak-r-r-dnar-prim-i-ing-10-40ml-fl-pe-no1
Антисептики и дезинфекторы,Бриллиантовый,Бриллиантовый зеленый раствор для наружного применения спиртовой 1% флакон пэт 10мл (отпуск 10фл),https://аптека-омск.рф/lek/brilliantovyy-zelenyy-r-r-dnar-prim-spirt-1-10ml-fl-poliet-otpusk-10fl
Антисептики и дезинфекторы,Перекись водорода,Перекись водорода раствор для местного применения 3% 100мл,https://аптека-омск.рф/lek/perekis-vodoroda-r-r-dlya-naruzh-i-mest-prim-3-fl-100ml
Антисептики и дезинфекторы,Перекись водорода,Перекись водорода раствор для местного применения 3% 100мл,https://аптека-омск.рф/lek/perekis-vodoroda-3-100ml-flak-r-r-dmestnaruzh-primiff
Антисептики и дезинфекторы,Перекись водорода,Перекись водорода раствор для местного применения 3% 100мл,https://аптека-омск.рф/lek/perekis-vodoroda-3-100ml-flak-polimer-r-r-dmestnaruzh-primen
Антисептики и дезинфекторы,Бриллиантовый зеленый,Бриллиантовый зеленый раствор для наружного применения спиртовой 1% флакон 10мл (отпуск 60фл),https://аптека-омск.рф/lek/brilliantovyy-zelenyy-r-r-dnar-prim-spirt-1-10ml-fl-tst-otpusk-60fl
Антисептики и дезинфекторы,Бриллиантовый зеленый,Бриллиантовый зеленый раствор для наружного применения спиртовой 1% флакон 25мл (отпуск 10фл),https://аптека-омск.рф/lek/brilliantovyy-zelenyy-r-r-dnar-prim-spirt-1-25ml-fl-tst-otpusk-10fl
Антисептики и дезинфекторы,Бриллиантовый зеленый,Бриллиантовый зеленый раствор для наружного применения спиртовой 1% флакон 10мл,https://аптека-омск.рф/lek/brilliantovyy-zelenyy-1-10ml-flak-r-r-dnaruzh-prim-spirtovoy-ivanovskaya-ff
Антисептики и дезинфекторы,Эвкалипта настойка,Эвкалипта настойка 25мл,https://аптека-омск.рф/lek/evkalipta-nastoyka-25ml-fl-no1
Антисептики и дезинфекторы,Бриллиантовый,Бриллиантовый зеленый раствор для наружного применения спиртовой 1% флакон пэт 25мл (отпуск 10фл),https://аптека-омск.рф/lek/brilliantovyy-zelenyy-r-r-dnar-prim-spirt-1-25ml-polimer-fl-otpusk-10fl
Антисептики и дезинфекторы,Бриллиантовый зеленый,Бриллиантовый зеленый раствор для наружного применения спиртовой 1% флакон 10мл,https://аптека-омск.рф/lek/brilliantovyy-zelenyy-r-r-dnar-prim-spirtovoy-1-fl-10ml
Антисептики и дезинфекторы,Бриллиантовый,Бриллиантовый зеленый раствор для наружного применения спиртовой 1% флакон 10мл (отпуск 10фл),https://аптека-омск.рф/lek/brilliantovyy-zelenyy-r-r-dnar-prim-spirt-1-10ml-fl-tst-otpusk-10fl
Антисептики и дезинфекторы,Бриллиантовый зеленый раствор,Бриллиантовый зеленый раствор для наружного применения спиртовой 1% флакон 25мл,https://аптека-омск.рф/lek/brilliantovyy-zelenyy-r-r-spirt-1-fl-25-ml-kh1
